Ticker,Date/Time,Open,High,Low,Close,Volume
SET,15/08/2013,1458.51,1461.34,1447.82,1453.07,7515277312
SET,16/08/2013,1441.72,1452.20,1440.74,1445.76,8199793664
SET,19/08/2013,1437.77,1438.78,1398.37,1398.48,7603135488
SET,20/08/2013,1378.87,1379.27,1353.02,1370.86,10272159744
SET,21/08/2013,1355.54,1374.02,1354.02,1355.14,7534952448
SET,22/08/2013,1341.66,1355.87,1325.78,1351.81,9718129664
SET,23/08/2013,1368.56,1370.40,1337.99,1338.13,8615834624
SET,26/08/2013,1347.69,1354.39,1328.51,1329.18,8271787008
SET,27/08/2013,1321.66,1322.72,1290.27,1293.97,11490425856
SET,28/08/2013,1272.33,1294.08,1260.08,1275.76,11468744704
SET,29/08/2013,1283.00,1293.90,1273.70,1292.53,7905082880
SET,30/08/2013,1300.44,1301.96,1285.05,1294.30,6075297280
SET,02/09/2013,1298.99,1323.70,1296.35,1323.70,7850955776
SET,03/09/2013,1323.11,1334.15,1312.63,1315.41,8755503104
SET,04/09/2013,1310.97,1319.14,1301.37,1303.21,5752956416
SET,05/09/2013,1309.03,1326.56,1306.48,1313.49,6175586304
SET,06/09/2013,1315.57,1337.03,1312.92,1336.25,6017560064
SET,09/09/2013,1353.35,1384.31,1352.85,1384.31,10607007744
SET,10/09/2013,1395.30,1413.98,1384.47,1393.17,15941146624
SET,11/09/2013,1395.80,1411.61,1381.12,1411.18,12220154880
SET,12/09/2013,1414.44,1422.19,1397.90,1397.90,8432020480
SET,13/09/2013,1389.62,1413.28,1387.86,1401.08,7847069184
SET,16/09/2013,1429.89,1445.18,1428.87,1445.11,10021178368
SET,17/09/2013,1444.05,1450.45,1435.91,1443.78,8463590400
SET,18/09/2013,1443.80,1451.77,1431.87,1439.13,8278171648
SET,19/09/2013,1486.87,1494.27,1479.25,1489.06,14010699776
SET,20/09/2013,1483.70,1487.91,1473.52,1486.76,9819131904
SET,23/09/2013,1473.11,1473.67,1433.14,1436.68,9295335424
SET,24/09/2013,1430.54,1441.73,1416.43,1417.77,7831677440
SET,25/09/2013,1421.06,1436.90,1413.63,1436.90,6574787072
